taxid,lineage,parent_taxid,species,genus,family,order,class,phylum,clade,superkingdom
29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria
141948,"[141948, 32033, 135614, 1236, 1224, 2, 131567, 1]",32033,,thermomonas,xanthomonadaceae,xanthomonadales,gammaproteobacteria,pseudomonadota,,bacteria
841,"[841, 186803, 186802, 186801, 1239, 1783272, 2, 131567, 1]",186803,,roseburia,lachnospiraceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
191303,"[191303, 2810281, 526525, 526524, 1239, 1783272, 2, 131567, 1]",2810281,,turicibacter,turicibacteraceae,erysipelotrichales,erysipelotrichia,bacillota,terrabacteria group,bacteria
22,"[22, 267890, 135622, 1236, 1224, 2, 131567, 1]",267890,,shewanella,shewanellaceae,alteromonadales,gammaproteobacteria,pseudomonadota,,bacteria
655352,"[655352, 655351, 356, 28211, 1224, 2, 131567, 1]",655351,,cohaesibacter,cohaesibacteraceae,hyphomicrobiales,alphaproteobacteria,pseudomonadota,,bacteria
1506,"[1506, 2614128, 1485, 31979, 186802, 186801, 1239, 1783272, 2, 131567, 1]",2614128,clostridium sp.,clostridium,clostridiaceae,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
76008,"[76008, 543313, 538999, 186802, 186801, 1239, 1783272, 2, 131567, 1]",543313,,fusibacter,eubacteriales family xii. incertae sedis,eubacteriales,clostridia,bacillota,terrabacteria group,bacteria
104267,"[104267, 49546, 200644, 117743, 976, 68336, 1783270, 2, 131567, 1]",49546,,tenacibaculum,flavobacteriaceae,flavobacteriales,flavobacteriia,bacteroidota,fcb group,bacteria
40222,"[40222, 135616, 72273, 1236, 1224, 2, 131567, 1]",135616,,methylophaga,piscirickettsiaceae,thiotrichales,gammaproteobacteria,pseudomonadota,,bacteria
180162,"[180162, 203492, 203491, 203490, 32066, 2, 131567, 1]",203492,,cetobacterium,fusobacteriaceae,fusobacteriales,fusobacteriia,fusobacteriota,,bacteria
662,"[662, 641, 135623, 1236, 1224, 2, 131567, 1]",641,,vibrio,vibrionaceae,vibrionales,gammaproteobacteria,pseudomonadota,,bacteria
29465,"[29465, 31977, 1843489, 909932, 1239, 1783272, 2, 131567, 1]",31977,,veillonella,veillonellaceae,veillonellales,negativicutes,bacillota,terrabacteria group,bacteria
1306,"[1306, 2608887, 1301, 1300, 186826, 91061, 1239, 1783272, 2, 131567, 1]",2608887,streptococcus sp.,streptococcus,streptococcaceae,lactobacillales,bacilli,bacillota,terrabacteria group,bacteria
29317,"[29317, 2609248, 1654, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2609248,actinomyces sp.,actinomyces,actinomycetaceae,actinomycetales,actinomycetes,actinomycetota,terrabacteria group,bacteria
1378,"[1378, 539738, 1385, 91061, 1239, 1783272, 2, 131567, 1]",539738,,gemella,gemellaceae,bacillales,bacilli,bacillota,terrabacteria group,bacteria
29317,"[29317, 2609248, 1654, 2049, 2037, 1760, 201174, 1783272, 2, 131567, 1]",2609248,actinomyces sp.,actinomyces,actinomycetaceae,actinomycetales,actinomycetes,actinomycetota,terrabacteria group,bacteria
59823,"[59823, 2638335, 838, 171552, 171549, 200643, 976, 68336, 1783270, 2, 131567, 1]",2638335,prevotella sp.,prevotella,prevotellaceae,bacteroidales,bacteroidia,bacteroidota,fcb group,bacteria
165779,"[165779, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,anaerococcus,peptoniphilaceae,tissierellales,tissierellia,bacillota,terrabacteria group,bacteria
150022,"[150022, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,finegoldia,peptoniphilaceae,tissierellales,tissierellia,bacillota,terrabacteria group,bacteria
1743,"[1743, 31957, 85009, 1760, 201174, 1783272, 2, 131567, 1]",31957,,propionibacterium,propionibacteriaceae,propionibacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria
194,"[194, 72294, 213849, 3031852, 29547, 2, 131567, 1]",72294,,campylobacter,campylobacteraceae,campylobacterales,epsilonproteobacteria,campylobacterota,,bacteria
1653,"[1653, 85007, 1760, 201174, 1783272, 2, 131567, 1]",85007,,,corynebacteriaceae,mycobacteriales,actinomycetes,actinomycetota,terrabacteria group,bacteria
162289,"[162289, 1570339, 1737405, 1737404, 1239, 1783272, 2, 131567, 1]",1570339,,peptoniphilus,peptoniphilaceae,tissierellales,tissierellia,bacillota,terrabacteria group,bacteria
